@relation sms

@attribute ncharacter real
@attribute ndollars real
@attribute nnumeric real
@attribute nuppercase real
@attribute type {ham, spam}

@data
117,0,5,1,spam
41,0,0,0,ham
152,0,40,4,spam
55,0,0,0,ham
38,0,0,0,ham
20,0,0,0,ham
182,0,1,1,ham
165,0,0,2,ham
68,0,0,0,ham
89,0,0,0,ham
89,0,0,2,ham
62,0,0,1,ham
102,0,6,1,spam
174,0,0,1,ham
81,0,0,0,ham
52,0,1,0,ham
135,0,0,0,ham
28,0,0,0,ham
154,0,0,2,ham
37,0,0,0,ham
27,0,0,0,ham
106,0,1,3,ham
286,0,0,2,ham
59,0,0,0,ham
125,0,0,1,ham
143,0,0,0,ham
132,0,0,0,ham
71,0,0,1,ham
45,0,0,0,ham
45,0,0,1,ham
75,0,0,0,ham
165,0,0,3,ham
31,0,0,0,ham
37,0,1,0,ham
56,0,0,2,ham
165,0,22,2,spam
151,0,0,4,ham
108,0,2,0,ham
50,0,0,1,ham
147,0,0,2,ham
97,0,0,1,ham
31,0,0,6,ham
139,0,2,1,ham
42,0,0,0,ham
27,0,0,0,ham
27,0,0,0,ham
38,0,1,0,ham
75,0,19,0,spam
114,0,0,0,ham
40,0,2,1,ham
105,0,15,0,spam
145,0,0,0,ham
55,0,0,0,ham
51,0,0,0,ham
155,0,17,0,spam
68,0,0,0,ham
100,0,0,1,ham
74,0,1,0,ham
115,0,0,1,ham
58,0,0,0,ham
32,0,0,0,ham
39,0,0,0,ham
132,0,24,2,spam
148,0,19,3,spam
154,0,40,4,spam
29,0,0,0,ham
152,0,0,1,ham
29,0,0,1,ham
34,0,0,0,ham
92,0,11,1,spam
92,0,0,0,ham
43,0,0,0,ham
109,0,0,1,ham
64,0,0,0,ham
43,0,0,0,ham
43,0,0,1,ham
27,0,0,0,ham
30,0,0,0,ham
141,0,27,13,spam
92,0,0,1,ham
24,0,0,0,ham
71,0,0,0,ham
146,0,11,4,spam
161,0,1,0,ham
27,0,0,1,ham
112,0,3,23,ham
70,0,0,1,ham
152,0,1,1,ham
142,0,0,0,ham
30,0,0,0,ham
64,0,0,1,ham
108,0,0,0,ham
42,0,0,0,ham
63,0,0,0,ham
92,0,0,15,ham
63,0,0,0,ham
128,0,0,0,ham
72,0,1,0,ham
71,0,0,0,ham
107,0,1,0,ham
136,0,10,3,spam
154,0,21,0,spam
40,0,0,0,ham
13,0,0,0,ham
67,0,0,1,ham
61,0,0,0,ham
149,0,7,2,spam
25,0,0,0,ham
105,0,0,0,ham
54,0,0,0,ham
41,0,0,0,ham
58,0,0,1,ham
93,0,0,0,ham
138,0,0,0,ham
41,0,0,0,ham
42,0,0,0,ham
128,0,0,1,ham
97,0,0,0,ham
85,0,0,1,ham
142,0,29,4,spam
40,0,0,1,ham
103,0,24,3,spam
71,0,0,0,ham
124,0,0,1,ham
70,0,0,1,ham
31,0,0,0,ham
33,0,0,0,ham
50,0,0,0,ham
162,0,0,3,ham
41,0,0,0,ham
99,0,0,0,ham
65,0,21,0,spam
145,0,1,0,ham
27,0,0,0,ham
61,0,0,0,ham
48,0,0,0,ham
66,0,0,0,ham
61,0,0,0,ham
59,0,0,0,ham
42,0,0,1,ham
30,0,0,0,ham
26,0,0,0,ham
41,0,0,0,ham
99,0,9,4,spam
159,0,21,6,spam
158,0,0,1,ham
51,0,0,1,ham
39,0,0,1,ham
85,0,0,0,ham
74,0,1,1,ham
29,0,0,0,ham
113,0,0,1,ham
51,0,0,0,ham
34,0,2,1,ham
27,0,1,0,ham
164,0,14,3,spam
91,0,1,1,ham
35,0,0,0,ham
148,0,1,7,ham
174,0,0,0,ham
47,0,0,0,ham
117,0,23,1,spam
23,0,0,0,ham
114,0,15,0,ham
81,0,0,0,ham
78,0,0,0,ham
97,0,0,0,ham
41,0,0,1,ham
59,0,0,0,ham
81,0,0,0,ham
34,0,0,0,ham
45,0,0,1,ham
33,0,0,0,ham
27,0,0,0,ham
82,0,0,0,ham
114,0,0,0,ham
80,0,0,0,ham
81,0,0,2,ham
35,0,0,0,ham
54,0,2,0,ham
161,0,1,3,spam
166,0,16,2,spam
321,0,2,0,ham
200,0,0,0,ham
43,0,16,0,spam
130,0,0,0,ham
53,0,0,1,ham
44,0,0,0,ham
167,0,47,6,spam
126,0,4,1,ham
151,0,22,1,spam
167,0,0,4,ham
34,0,0,0,ham
43,0,0,0,ham
30,0,0,0,ham
45,0,0,0,ham
231,0,0,0,ham
75,0,0,0,ham
145,0,1,2,ham
52,0,1,0,ham
68,0,0,0,ham
22,0,0,0,ham
107,0,4,0,spam
46,0,0,0,ham
85,0,0,2,ham
142,0,0,0,ham
108,0,0,0,ham
34,0,0,0,ham
56,0,0,1,ham
154,0,15,5,spam
30,0,0,0,ham
154,0,0,2,ham
43,0,0,0,ham
67,0,0,0,ham
184,0,2,0,ham
39,0,0,0,ham
52,0,0,0,ham
45,0,3,0,ham
115,0,0,2,ham
137,0,19,3,spam
106,0,0,0,ham
47,0,0,0,ham
108,0,2,0,spam
71,0,0,1,spam
32,0,0,0,ham
36,0,0,0,ham
87,0,0,0,ham
28,0,0,0,ham
64,0,0,0,ham
138,0,0,0,ham
38,0,0,1,ham
100,0,0,1,ham
101,0,16,0,spam
140,0,0,1,ham
165,0,33,1,spam
156,0,0,0,ham
78,0,0,2,ham
155,0,25,4,spam
108,0,1,0,ham
27,0,0,0,ham
56,0,0,1,ham
142,0,0,1,ham
63,0,0,0,ham
94,0,1,1,ham
86,0,0,0,ham
62,0,0,1,ham
31,0,0,0,ham
37,0,0,0,ham
150,0,0,0,ham
125,0,0,1,ham
148,0,0,1,ham
28,0,0,0,ham
141,0,9,0,ham
99,0,2,2,ham
13,0,0,0,ham
105,0,11,2,spam
70,0,1,0,ham
76,0,0,0,ham
122,0,0,0,ham
135,0,3,3,spam
163,0,30,1,spam
33,0,0,0,ham
155,0,0,0,ham
36,0,1,0,ham
76,0,0,12,ham
75,0,0,3,ham
99,0,0,0,ham
53,0,0,0,ham
166,0,13,4,spam
101,0,0,0,ham
36,0,1,0,ham
46,0,0,0,ham
158,0,18,2,spam
76,0,0,2,ham
168,0,19,2,spam
147,0,29,2,spam
30,0,1,1,ham
27,0,1,1,ham
53,0,0,0,ham
38,0,0,0,ham
49,0,0,1,ham
52,0,0,1,ham
31,0,0,1,ham
117,0,0,0,ham
154,0,19,2,spam
24,0,0,1,ham
139,0,6,4,spam
53,0,0,1,ham
112,0,0,0,ham
43,0,0,0,ham
32,0,0,0,ham
131,0,2,20,ham
136,0,0,1,ham
28,0,0,0,ham
162,0,18,3,spam
167,0,20,0,spam
30,0,0,0,ham
47,0,0,0,ham
32,0,0,0,ham
27,0,0,0,ham
103,0,0,1,ham
94,0,0,0,ham
153,0,25,6,spam
134,0,2,1,ham
158,0,5,2,spam
220,0,0,0,ham
31,0,0,0,ham
71,0,0,0,ham
155,0,17,2,spam
377,1,0,3,ham
161,0,14,2,spam
166,0,25,4,spam
86,0,2,1,ham
78,0,0,0,ham
81,0,0,0,ham
159,0,27,4,spam
29,0,0,1,ham
236,0,0,2,ham
92,0,0,3,ham
77,0,0,1,ham
110,0,0,0,ham
164,0,24,3,spam
59,0,1,2,ham
63,0,0,2,ham
59,0,0,0,ham
121,0,1,20,ham
93,0,0,0,ham
150,0,5,1,spam
34,0,0,0,ham
141,0,0,2,ham
28,0,0,0,ham
44,0,0,0,ham
40,0,0,0,ham
29,0,0,0,ham
100,0,0,2,ham
78,0,0,0,ham
50,0,0,0,ham
166,0,15,1,spam
164,0,0,3,ham
155,0,34,5,spam
140,0,0,1,spam
160,0,14,1,spam
97,0,0,0,ham
107,0,0,0,ham
36,0,0,1,ham
82,0,0,0,ham
144,0,0,4,ham
162,0,28,5,spam
49,0,0,0,ham
142,0,8,3,spam
138,0,12,4,spam
149,0,14,4,spam
133,0,0,0,spam
281,0,1,2,ham
83,0,0,2,ham
32,0,0,0,ham
84,0,0,0,ham
29,0,0,0,ham
57,0,0,2,ham
73,0,0,2,ham
29,0,0,0,ham
49,0,0,0,ham
29,0,0,0,ham
60,0,0,1,ham
67,0,0,0,ham
109,0,1,1,ham
92,0,0,0,ham
153,0,0,0,ham
54,0,0,0,ham
159,0,0,1,ham
61,0,0,0,ham
164,0,18,2,spam
131,0,0,0,ham
48,0,0,0,ham
82,0,0,3,ham
54,0,0,0,ham
89,0,0,0,ham
54,0,0,0,ham
168,0,5,2,spam
84,0,0,1,ham
36,0,0,6,ham
161,0,28,0,spam
151,0,0,2,ham
28,0,0,1,ham
165,0,0,4,ham
67,0,0,0,ham
44,0,0,0,ham
72,0,0,1,ham
78,0,0,0,ham
153,0,0,1,ham
93,0,0,0,ham
42,0,0,0,ham
28,0,0,0,ham
61,0,0,0,ham
58,0,0,1,ham
78,0,0,0,ham
85,0,0,0,ham
49,0,0,1,ham
97,0,1,2,ham
40,0,0,1,ham
28,0,0,0,ham
145,0,17,0,spam
111,0,1,0,ham
108,0,0,0,ham
39,0,0,0,ham
82,0,0,1,ham
164,0,24,3,spam
31,0,0,0,ham
52,0,0,0,ham
29,0,0,1,ham
154,0,28,3,spam
138,0,0,1,ham
131,0,0,0,ham
83,0,0,0,ham
138,0,3,3,spam
121,0,0,0,ham
226,0,0,2,ham
64,0,0,1,ham
143,0,28,5,spam
148,0,0,0,ham
29,0,0,0,ham
43,0,0,0,ham
47,0,0,0,ham
29,0,0,0,ham
162,0,0,2,ham
52,0,0,0,ham
47,0,0,1,spam
127,0,2,0,ham
131,0,0,0,ham
31,0,0,0,ham
119,0,0,0,ham
12,0,0,0,ham
39,0,0,1,ham
162,0,18,3,spam
97,0,0,0,ham
95,0,0,0,ham
27,0,0,0,ham
90,0,0,0,ham
68,0,0,2,ham
225,0,0,12,ham
46,0,0,0,ham
65,0,4,0,ham
93,0,1,2,ham
36,0,0,0,ham
42,0,0,0,ham
33,0,0,0,ham
29,0,0,0,ham
123,0,1,1,ham
27,0,0,0,ham
215,0,0,0,ham
55,0,0,0,ham
54,0,0,1,ham
92,0,0,0,ham
66,0,0,0,ham
147,0,13,1,spam
59,0,0,12,ham
33,0,0,1,ham
54,0,0,0,ham
58,0,0,1,ham
150,0,0,3,ham
165,0,23,0,ham
58,0,0,0,ham
17,0,2,2,ham
147,0,2,1,ham
76,0,0,1,ham
134,0,0,1,ham
38,0,0,2,ham
52,0,0,0,ham
77,0,0,0,ham
153,0,0,0,ham
109,0,1,0,ham
46,0,0,0,ham
28,0,0,0,ham
153,0,22,2,spam
109,0,0,0,ham
50,0,0,1,ham
31,0,0,0,ham
42,0,0,0,ham
156,0,13,3,spam
137,0,3,3,ham
68,0,0,0,ham
113,0,0,1,ham
98,0,0,2,ham
48,0,0,1,ham
50,0,0,2,ham
61,0,0,1,ham
42,0,0,0,ham
129,0,0,0,ham
164,0,19,2,spam
43,0,0,0,ham
58,0,0,1,ham
36,0,0,0,ham
229,0,0,3,ham
162,0,22,0,spam
29,0,0,0,ham
29,0,0,0,ham
57,0,0,0,ham
53,0,0,2,ham
33,0,0,0,ham
48,0,0,1,ham
54,0,0,0,ham
31,0,0,0,ham
63,0,0,0,ham
22,0,0,0,ham
31,0,1,6,ham
132,0,0,5,ham
108,0,3,19,ham
162,0,0,1,ham
39,0,0,0,ham
133,0,0,0,ham
160,0,0,4,ham
56,0,0,0,ham
65,0,0,0,ham
35,0,0,0,ham
46,0,0,0,ham
107,0,1,0,ham
107,0,17,0,spam
24,0,0,0,ham
117,0,2,0,ham
110,0,10,7,spam
82,0,1,2,ham
141,0,11,4,spam
46,0,1,0,ham
51,0,1,0,ham
141,0,0,1,ham
51,0,0,0,ham
162,0,3,32,ham
29,0,0,0,ham
22,0,0,0,ham
25,0,3,1,ham
89,0,0,1,ham
158,0,15,16,spam
68,0,0,0,ham
160,0,1,1,ham
127,0,0,0,ham
149,0,5,3,spam
55,0,0,0,ham
30,0,1,0,ham
49,0,0,1,ham
70,0,0,0,ham
140,0,17,4,spam
26,0,0,0,ham
52,0,0,0,ham
162,0,18,3,spam
96,0,5,2,spam
140,0,0,0,ham
44,0,0,0,ham
88,0,0,0,ham
49,0,0,0,ham
33,0,0,0,ham
29,0,0,0,ham
72,0,1,1,ham
72,0,0,0,ham
38,0,0,0,ham
29,0,0,0,ham
124,0,0,0,ham
915,0,0,11,ham
163,0,3,4,ham
40,0,0,1,ham
29,0,0,1,ham
158,0,28,1,spam
58,0,0,1,ham
152,0,24,3,spam
77,0,0,0,ham
24,0,0,0,ham
193,0,0,0,ham
76,0,0,2,ham
28,0,0,0,ham
147,0,9,1,spam
165,0,0,0,ham
78,0,0,2,ham
111,0,0,1,ham
85,0,0,1,ham
110,0,0,0,ham
47,0,0,1,ham
73,0,1,1,ham
165,0,2,0,spam
37,0,0,0,ham
164,0,0,2,ham
145,0,0,0,ham
106,0,0,3,ham
36,0,0,1,ham
28,0,0,0,ham
63,0,1,0,ham
42,0,0,0,ham
66,0,0,1,ham
65,0,0,0,ham
59,0,0,0,ham
74,0,0,0,ham
75,0,27,0,spam
77,0,2,0,ham
162,0,22,3,spam
45,0,0,0,ham
159,0,17,1,spam
41,0,0,0,ham
40,0,0,0,ham
39,0,1,0,ham
162,0,15,3,spam
84,0,0,0,ham
126,0,0,2,ham
110,0,12,1,spam
69,0,0,0,ham
30,0,0,0,ham
27,0,0,0,ham
40,0,0,0,ham
161,0,1,3,ham
63,0,1,1,ham
36,0,0,2,ham
126,0,12,1,spam
29,0,0,1,ham
22,0,0,0,ham
157,0,0,1,ham
46,0,0,0,ham
164,0,16,4,spam
85,0,0,0,ham
90,0,0,0,ham
120,0,1,3,ham
121,0,16,1,spam
30,0,0,1,ham
50,0,0,0,ham
75,0,0,0,ham
27,0,0,0,ham
48,0,0,0,ham
27,0,0,0,ham
27,0,0,0,ham
145,0,17,1,spam
77,0,0,1,ham
96,0,0,1,ham
75,0,0,0,ham
145,0,0,1,ham
36,0,0,0,ham
57,0,4,0,ham
45,0,0,0,ham
28,0,0,2,ham
161,0,25,3,spam
150,0,0,2,ham
59,0,0,0,ham
48,0,0,1,ham
35,0,0,1,ham
44,0,0,0,ham
76,0,0,0,ham
151,0,1,3,ham
78,0,0,0,ham
165,0,8,4,spam
28,0,0,0,ham
30,0,0,1,ham
64,0,1,0,ham
155,0,2,2,ham
172,0,2,5,ham
31,0,0,0,ham
71,0,0,0,ham
40,0,0,0,ham
31,0,0,0,ham
31,0,0,0,ham
54,0,0,1,ham
43,0,0,0,ham
41,0,0,0,ham
23,0,0,0,ham
53,0,0,0,ham
73,0,0,0,ham
78,0,0,0,ham
54,0,0,1,ham
18,0,0,0,ham
68,0,0,0,ham
138,0,0,1,ham
160,0,18,2,spam
18,0,0,1,ham
55,0,12,0,spam
79,0,0,0,ham
53,0,0,1,ham
143,0,1,0,ham
169,0,0,3,ham
45,0,0,0,ham
25,0,0,1,ham
66,0,1,0,ham
66,0,0,0,ham
151,0,19,2,spam
135,0,0,1,ham
154,0,10,3,spam
42,0,0,1,ham
36,0,0,0,ham
32,0,0,0,ham
46,0,1,0,ham
54,0,0,0,ham
57,0,0,0,ham
129,0,0,2,ham
68,0,0,0,ham
88,0,0,1,ham
56,0,12,0,spam
75,0,0,0,ham
60,0,0,1,ham
124,0,1,0,ham
149,0,14,3,spam
27,0,0,0,ham
48,0,0,0,ham
51,0,0,0,ham
151,0,20,1,spam
80,0,1,0,ham
165,0,15,5,spam
47,0,0,0,ham
128,0,21,5,spam
36,0,0,0,ham
81,0,0,1,ham
56,0,0,0,ham
32,0,1,0,ham
39,0,0,0,ham
132,0,3,0,ham
141,0,9,0,ham
29,0,0,0,ham
38,0,0,0,ham
68,0,0,0,ham
101,0,0,0,ham
58,0,1,1,ham
64,0,0,1,ham
57,0,0,0,ham
50,0,0,0,ham
39,0,1,0,ham
58,0,0,0,ham
116,0,2,1,ham
65,0,0,0,ham
157,0,4,27,ham
60,0,0,1,ham
89,0,0,2,ham
87,0,11,1,spam
92,0,0,0,ham
89,0,0,0,ham
31,0,0,0,ham
63,0,0,0,ham
51,0,0,0,ham
48,0,0,0,ham
29,0,0,0,ham
